Student GUID,Name,Research Interests,University Field
c1c5fc27-048a-4fad-b32a-57b6613f5c6d,Daniel Cain,"Photonics,Quantum Mechanics,Particle Physics",Physics
ead3d7a5-bddc-4ad1-ab55-4db006731802,Amy Potter,"Psychometrics,Health Psychology",Psychology
c6f1e6d1-21fe-4daa-a022-ff9e0f4fd957,Jessica Collins,"Environmental Chemistry,Physical Chemistry,Medicinal Chemistry",Chemistry
3e19f76f-46b4-46c4-a489-36053fd8d79e,Maria Singh,"Modern History,World History",History
31bbb063-8dae-4e81-97c4-456e8df9af33,James Thomas,"Geometry,Algebra",Mathematics
6d497a41-cac4-4317-9c5b-2e5961311d44,Charlene French,"Creative Writing,Drama",Literature
9ae91d6f-e92a-470e-b786-bc1ea1aeca8f,Ronald Ayala,"Systems Engineering,Industrial Engineering,Biomedical Engineering",Engineering
9175cd7e-f9aa-47c3-a522-1c3276b5c59a,Pamela Hernandez,"Blockchain,Artificial Intelligence,Machine Learning",Computer Science
ac070e83-2180-4499-a42e-c16dd2c92c3a,Paula Diaz,"Conservation Biology,Genetics,Evolutionary Biology",Biology
b5a12d36-d0f5-4ec0-bf18-fe2842bec0e4,Sherry Clark,"Experimental Psychology,Psychometrics,Clinical Psychology",Psychology
4b4dbb61-6bab-438c-91ad-d56aaf8103da,Jessica Salazar,"Medicinal Chemistry,Theoretical Chemistry,Analytical Chemistry",Chemistry
c62f086d-6e88-4b4f-ac06-d53d56040929,John Kelly,"Number Theory,Geometry",Mathematics
0a7c64e9-9884-4cc4-a193-c87316bc3a44,Anthony Lopez,"Cloud Computing,Data Science",Computer Science
b8f2c255-742a-45cb-84ea-7754af40086f,Evan Collins,"Number Theory,Probability,Mathematical Physics",Mathematics
e06f3b8a-bd52-4cc0-9707-a793299f2ba0,Brett West,"Systems Engineering,Industrial Engineering,Biomedical Engineering",Engineering
3c28b1a3-c14f-4d5f-a34c-a46bae7abfe2,Maria Stokes,"Organic Chemistry,Physical Chemistry",Chemistry
ebc662d9-c4f2-46d6-9e32-3effda61d64c,John Taylor,"Novel,World Literature,Drama",Literature
092eff9f-f8cf-4679-8b2f-ea26e35028ac,Edward Hicks,"International Economics,Econometrics,Development Economics",Economics
026ac240-22bd-428a-a093-e8592d72b726,Todd Lee,"Quantum Mechanics,Cosmology,Particle Physics",Physics
d31f1fc7-8f89-4c00-aebd-09fff18bf523,Meghan Mcdonald,"Creative Writing,World Literature,Novel",Literature
3c86814f-1586-423c-86e1-8c4fe7bc9735,Megan Berry,"Psychometrics,Health Psychology,Developmental Psychology",Psychology
85477bc4-43ce-43c2-a3ba-41db65391678,Sabrina Huynh,"Software Engineering,Biomedical Engineering",Engineering
8b91bfb8-4e21-4d18-8b9d-11eb3b2ab8d9,Kyle Green,"Photonics,Cosmology",Physics
ffd75407-1da8-4e0c-a42d-4ac77fd6abab,David Jones,"International Economics,Financial Economics,Public Economics",Economics
c9c2ec93-00e8-4f6e-a8de-3bfdb63ffab3,Karen Hammond,"Number Theory,Algebra,Mathematical Physics",Mathematics
e6bb7e7d-275e-4cc7-a71b-f7f61fd9f807,Trevor Gray,"Novel,Comparative Literature,Literary Criticism",Literature
220f0668-e530-468e-b8a8-626bf500f72f,Tina Thomas,"Theoretical Physics,Photonics,Quantum Mechanics",Physics
8c5eca7a-9c36-49e9-8686-5daddc2c75e5,Brandi Christensen,"World Literature,Rhetoric,Historiography",Literature
c10975f4-dad2-4413-bdc0-7f075ff8fcfb,Kyle Barton,"Microeconomics,Econometrics,Financial Economics",Economics
239bb0eb-b124-4a3e-863f-985d0d4a66fe,April Adams,"International Economics,Microeconomics,Macroeconomics",Economics
439b3d44-41b0-4813-8fe1-dad101c28fbe,Kelly Elliott,"Statistics,Probability,Algebra",Mathematics
8ee78af9-2147-4845-ac2e-f7a660494f69,Katherine Parker,"Theoretical Chemistry,Organic Chemistry,Analytical Chemistry",Chemistry
777a2800-fd9f-4532-8f7d-5848de5a69b1,Todd Edwards,"Human-Computer Interaction,Data Science",Computer Science
acbd273d-c1fb-4db2-a8cf-18cb35ac1250,Tyler Webb,"Environmental Chemistry,Inorganic Chemistry,Organic Chemistry",Chemistry
5c81fddc-301e-495d-acd0-2c35c2fa2cdc,Thomas Jarvis MD,"Industrial Engineering,Electrical Engineering,Mechanical Engineering",Engineering
ae4c5e13-0991-467e-ad3a-a36650f000e9,Susan Gibson,"Environmental Chemistry,Biochemistry,Medicinal Chemistry",Chemistry
6be87f65-c733-488f-b1a4-000b5420260e,Kyle Gilbert,"Conservation Biology,Microbiology",Biology
1d98b8f0-5751-4c41-8967-be249248fb75,Tonya Davis,"Rhetoric,Literary Criticism,Poetry",Literature
31fd5358-c8f4-4e4f-ab41-79158d54182f,Victor Bennett,"Evolutionary Biology,Genetics,Immunology",Biology
5882e18c-5caa-4370-8c55-c958248999aa,Brian Williamson,"Software Engineering,Industrial Engineering,Civil Engineering",Engineering
1223f070-fbfc-490e-a182-171d522368bb,Ryan Mitchell,"Software Engineering,Artificial Intelligence,Cybersecurity",Computer Science
8dbede98-6932-41ba-ad1f-cde1ad979a27,James Yang DVM,"Statistics,Topology,Algebra",Mathematics
728dd3f6-3f1a-4185-a228-7ea17272d513,Daniel Espinoza,"Inorganic Chemistry,Physical Chemistry,Analytical Chemistry",Chemistry
c878ea79-dc88-4218-b18c-82b0dbb707c4,Katie Kennedy,"Materials Science,Inorganic Chemistry,Biochemistry",Chemistry
ca1ba4aa-c052-4fe5-b583-07f9d6884c17,Travis Hall,"Statistics,Number Theory,Applied Mathematics",Mathematics
196fc51e-55c5-4228-9eb5-841aca78e5c4,Tim Stanley,"Industrial Engineering,Chemical Engineering,Environmental Engineering",Engineering
04103a4e-e221-4da8-93eb-a5f6a0c18333,Emily Cohen,"World Literature,Poetry",Literature
e6b99d5a-efc8-4f8d-a356-f014c4fc6c19,Traci Turner,"Differential Equations,Geometry,Topology",Mathematics
0b3478a2-c651-4ae6-a744-f9261d2348ee,Richard Wright,"Econometrics,Financial Economics,Public Economics",Economics
b969f666-0a1d-42b4-9487-7d3bd6de1262,Matthew Gonzalez,"History of Science,Cultural History,Ancient History",History
e391b000-6603-403c-adf0-e6f7e908a897,Vincent Howard,Drama,Literature
fd5a1aa9-73e2-4d35-9bba-106d377aff58,Mikayla Shepard,"Number Theory,Geometry,Mathematical Physics",Mathematics
df084c96-669f-4805-ae38-35b4fe61a887,Jason Lane,"Condensed Matter Physics,Cosmology,Quantum Mechanics",Physics
afa13703-c4a7-4c3b-ac95-1bfe664571ef,Amber Martinez,"Behavioral Economics,Financial Economics,Labor Economics",Economics
7519d86f-e99e-4954-b426-21063c14d35e,Tiffany Duncan,"Econometrics,Public Economics",Economics
f35da58b-b5ca-453f-a1f0-a4efc645afd0,Bianca Hayes,"Inorganic Chemistry,Polymer Science,Theoretical Chemistry",Chemistry
07513863-07fa-491e-8d4c-a303e40e5e19,Debra Mcmahon,"Blockchain,Data Science",Computer Science
a6e96648-ad7a-4ed6-aec4-48da875cefe1,Vanessa Jones,"Software Engineering,Machine Learning",Computer Science
ac13624a-53d6-4bee-a4d4-77b0a90a370c,Leah Johnson,"Number Theory,Mathematical Physics",Mathematics
575047a0-1f37-407b-a44e-513889c054e3,Brenda Martinez,"Social Psychology,Developmental Psychology,Clinical Psychology",Psychology
a246d97d-4612-4d9a-b2b1-f35c12d8db24,Mr. Louis Smith,"World Literature,Rhetoric,Historiography",Literature
a3d05b91-5471-4369-894a-684570cfbbb9,Morgan Barker,"Software Engineering,Electrical Engineering,Environmental Engineering",Engineering
2b205129-4af6-4b11-87d3-ef87f53f9dd1,Shelia Henderson,"History of Science,Economic History,World History",History
af86ea32-a7d1-445c-827b-40eee7201f1f,Anthony Webster,"Topology,Calculus,Mathematical Physics",Mathematics
093f6461-a937-4c57-8cb6-b6e4150010a0,Victor Little,"Differential Equations,Probability,Algebra",Mathematics
